Questions,10,20,30,40,50
Give an alternate name for Santa,Papa Noell,Kris Kringle,Father Christmas,Jolly Fat Man,Saint Nicolas
Name a Famous Christmas character,Buddy the Elf,Jack Frost,Frosty the Snowman,Scrooge,The Grinch
Name an item given during the 12 days of Christmas,7 swans a swimming,8 maids a milking,5 golden rings,3 french hens,A partridge in a pear tree
Name a food eaten at Christmas,Gravy,Eggnog,Figgy pudding,Stuffing,Turkey
Name a Christmas song or carol,Away in a manger,Last Christmas,All I Want for Christmas,Rudolph the Red Nosed Reindeer,Silent Night
Name 1 role in the nativity play,The 3 Kings,The Shepards,The Donkey,Joseph,Mary
What do you decorate a Christmas tree with?,Tinsel,Lights,Star,Angel,Baubles
Name one of Santa's reindeer,Donner,Blitzen,Comet,Dancer,Rudolph
What kinds of present are most popular to give,Coal,Clothes,Toy,Money,Video games
What do you do on Christmas day?,play a quiz,talk with family,Eat Christmas Dinner,Use presents,Open presents
